latitude,longitude,available_channels,occupied_channels,signal_strength,interference_level
-29.894847,27.629467,"[68, 40, 37, 52]","[26, 44]",-94.28,Medium
-29.950504,28.849179,"[45, 67, 51, 27, 52, 68, 30, 21]","[58, 29, 36, 38]",-70.43,Low
-29.01937,28.671788,"[39, 26, 64, 55, 53, 67, 22, 32, 49, 48]","[50, 31, 56]",-81.99,High
-29.382514,28.969091,"[37, 34, 62, 21, 29, 35, 42]","[62, 27, 31]",-73.35,Medium
-30.029161,27.455735,"[43, 25, 29, 48]","[47, 59, 64, 52]",-75.54,Low
-29.766941,29.085743,"[60, 54, 25, 26, 64, 52, 30, 41, 48, 37]","[50, 57, 67, 37, 49]",-71.15,Medium
-29.501109,28.868811,"[23, 55]","[67, 35, 27, 37, 64]",-76.44,Low
-29.661016,27.433068,"[48, 21, 54]","[26, 51, 40, 65]",-81.79,Medium
-29.84708,28.377542,"[27, 35, 57, 56, 42, 21, 40, 31, 62, 68]","[27, 64]",-81.56,High
-29.880601,27.946484,"[39, 45]","[37, 50, 49, 22]",-95.38,Medium
-29.088964,29.08973,"[56, 27, 37, 59, 32, 30, 47, 48, 23]","[50, 59, 63, 42]",-81.66,Medium
-30.000788,28.756841,"[26, 28]","[42, 37, 67, 21, 51]",-64.15,High
-29.800062,28.552992,"[33, 31, 51, 34]","[55, 44, 22]",-78.45,High
-29.08496,28.70219,"[38, 23, 29, 25, 53, 27, 65]","[59, 65, 55, 61]",-75.56,Low
-29.489138,28.907811,"[54, 58]","[45, 51, 49, 65]",-80.07,Low
-30.024615,27.582001,"[67, 63]","[39, 52, 24]",-92.4,Low
-29.44246,28.187194,"[25, 50, 66, 68, 60, 55, 57, 65, 32, 47]","[27, 33, 60]",-74.83,Medium
-28.712113,28.311326,"[45, 38]","[49, 55]",-90.36,High
-29.879142,28.658855,"[64, 26, 46, 36, 33, 45, 66, 27, 54, 57]","[41, 66]",-81.06,High
-30.312501,27.834227,"[64, 34, 27, 56, 29, 53, 25, 68]","[21, 36]",-70.94,High
-29.773579,27.612504,"[50, 65, 36, 67, 30, 21, 56, 54]","[52, 25, 29]",-73.56,Medium
-29.018774,28.213775,"[22, 24, 41, 37, 65, 32, 49, 52, 59]","[54, 21, 22]",-69.39,Medium
-29.118685,27.65882,"[36, 28]","[54, 38, 52, 61]",-87.79,Medium
-29.41154,29.060975,"[50, 42, 43, 52, 58, 65, 67]","[32, 64]",-96.36,Low
-29.517132,28.614037,"[49, 23, 25, 66, 64, 47, 44, 22, 26]","[27, 36]",-87.43,Medium
-28.877765,28.041059,"[45, 41, 68, 66, 34]","[61, 55, 27]",-76.84,Medium
-29.585602,27.912691,"[52, 28, 65, 32]","[48, 41, 45]",-76.77,Low
-29.431505,28.666296,"[31, 26, 37, 23, 59, 44, 29, 33, 34]","[57, 53, 29, 25, 50]",-65.46,Low
-29.812218,29.043972,"[66, 25, 34, 42]","[25, 52, 45, 26]",-82.04,Low
-29.03851,28.565302,"[22, 57, 48, 35, 30, 32, 55, 45, 31, 47]","[67, 32, 26, 46]",-75.7,Medium
-29.970656,27.584952,"[34, 64, 58, 51, 49, 27, 61, 32, 37, 33]","[27, 49, 31, 62, 32]",-78.82,High
